Log akses dibuat untuk username : admin_surat (pada 20-05-2014 09:45:15). IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7
[06-10-2014 02:37:19] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 02:44:39] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[06-10-2014 02:46:36] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[06-10-2014 02:48:29] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 02:52:53] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[06-10-2014 02:53:21] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[13-10-2014 11:47:58] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[13-10-2014 12:01:03] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[13-10-2014 12:12:50] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[13-10-2014 12:16:53] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[13-10-2014 12:20:05] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[13-10-2014 03:07:35] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[14-10-2014 02:14:17] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[14-10-2014 02:15:39] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[14-10-2014 02:20:21] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[14-10-2014 02:28:20] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[17-10-2014 02:13:38] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 10:44:12] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 10:44:48] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 10:45:22] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 11:10:29] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 11:11:00] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[28-10-2014 07:23:34] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[28-10-2014 07:30:40] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
