Log akses dibuat untuk username : admin (pada 20-05-2014 02:14:03). IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7
[26-05-2014 07:28:44] : LOG OUT Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 07:46:38] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 07:48:36] : LOG IN Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 07:50:27] : LOG OUT Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 08:24:28] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 08:24:43] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 08:32:40] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 08:33:02] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 09:02:53] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 09:03:06] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 10:59:01] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[26-05-2014 11:30:45] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 09:30:52] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 09:31:00] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 09:31:42] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 10:29:52] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 10:02:06] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 10:07:39] : LOG IN Sukses. IP : 202.67.42.14, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[27-05-2014 11:02:01] : LOG OUT Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 11:02:14] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 11:04:42] : LOG OUT Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[27-05-2014 11:15:49] : LOG IN Sukses. IP : 110.76.149.147, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[27-05-2014 11:18:31] : LOG OUT Sukses. IP : 202.67.42.14, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[27-05-2014 11:36:45] : LOG OUT Sukses. IP : 110.76.149.147, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[27-05-2014 11:37:16] : LOG IN Sukses. IP : 110.76.149.147, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[27-05-2014 11:58:28] : LOG IN Sukses. IP : 202.67.42.14, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[27-05-2014 11:58:39] : LOG OUT Sukses. IP : 202.67.42.14, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 12:19:40] : LOG IN Sukses. IP : 202.67.42.14, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 12:19:48] : LOG OUT Sukses. IP : 202.67.42.14, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 12:30:00] : LOG IN Sukses. IP : 202.67.42.23, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 12:31:57] : LOG OUT Sukses. IP : 202.67.42.23, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[28-05-2014 08:38:36] : LOG IN Sukses. IP : 202.67.42.5, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[28-05-2014 08:39:01] : LOG OUT Sukses. IP : 202.67.42.5, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[28-05-2014 04:02:09] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[28-05-2014 04:02:30] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[29-05-2014 11:14:11] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[29-05-2014 11:14:26] : LOG OUT Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[29-05-2014 11:22:02] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[29-05-2014 11:22:20] : LOG OUT Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[30-05-2014 07:18:43] : LOG IN Sukses. IP : 202.67.43.4, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[30-05-2014 07:42:51] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[30-05-2014 07:47:37] : LOG OUT Sukses. IP : ::1, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[05-06-2014 06:45:01] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[05-06-2014 07:21:06] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[05-06-2014 07:39:50] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[05-06-2014 07:40:34] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[05-06-2014 08:03:00] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[05-06-2014 08:03:05] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[06-06-2014 01:02:30] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[09-06-2014 09:52:32] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[09-06-2014 02:08:41] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[09-06-2014 10:06:02] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[09-06-2014 10:11:59] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[09-06-2014 10:13:47] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[09-06-2014 10:13:53] : LOG OUT Sukses. IP : ::1, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[09-06-2014 10:19:43] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[09-06-2014 10:19:50] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[10-06-2014 05:52:52] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[21-06-2014 03:01:35] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[21-06-2014 03:21:35] : LOG OUT Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[24-06-2014 07:03:52] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[06-07-2014 03:59:40] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[07-07-2014 06:00:57] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[07-07-2014 06:02:11] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[07-07-2014 06:04:56] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[07-07-2014 06:05:02] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[07-07-2014 06:31:57] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[07-07-2014 06:32:05] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[11-07-2014 04:34:51] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : ???.
[11-07-2014 04:35:16] : LOG OUT Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : ???.
[11-07-2014 04:55:44] : LOG IN Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : ???.
[11-07-2014 04:56:15] : LOG OUT Sukses. IP : ::1, browser : Mozilla Firefox versi : 30.0, OS : ???.
[03-10-2014 11:53:26] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 11:53:39] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 11:59:32] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 12:02:24] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 12:04:32] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 12:04:50] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 12:05:24] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 12:05:30] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[04-10-2014 04:50:16] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[04-10-2014 04:50:30] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[05-10-2014 06:49:01] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[05-10-2014 06:53:15] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[05-10-2014 07:17:43] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[06-10-2014 02:50:01] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[06-10-2014 02:52:40] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[13-10-2014 05:36:50] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[13-10-2014 11:47:53] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[13-10-2014 03:07:40] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
[13-10-2014 03:07:53] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 32.0, OS : linux.
